,coin_name,ticker_symbol,market_cap,price,percent_change_hour
0,Bitcoin,BTC,"$365,296,029,716","$19,049.95",-0.60%
1,Ethereum,ETH,"$156,978,852,038","$1,278.95",-1.13%
2,Tether,USDT,"$68,420,468,040",$1,-0.01%
3,USD Coin,USDC,"$45,993,824,373",$1,0.00%
4,BNB,BNB,"$43,437,128,981",$269.23,-1.24%
5,XRP,XRP,"$24,708,560,935",$0.4945,-1.07%
6,Binance USD,BUSD,"$21,637,849,961",$1.00,0.10%
7,Cardano,ADA,"$13,496,469,347",$0.3938,-3.06%
8,Solana,SOL,"$11,268,055,774",$31.52,-1.81%
9,Dogecoin,DOGE,"$7,777,045,191",$0.05862,-1.97%
10,Polygon,MATIC,"$7,034,559,584",$0.8054,-1.76%
11,Polkadot,DOT,"$6,975,337,710",$6.20,-1.52%
12,Dai,DAI,"$6,734,494,076",$0.9994,0.03%
13,TRON,TRX,"$5,744,455,091",$0.06222,-1.12%
14,Shiba Inu,SHIB,"$5,543,136,598",$0.0000101,-1.96%
15,Uniswap,UNI,"$4,851,445,145",$6.36,-0.58%
16,Avalanche,AVAX,"$4,718,092,307",$15.93,-2.22%
17,Wrapped Bitcoin,WBTC,"$4,653,019,271","$19,030.25",-0.62%
18,UNUS SED LEO,LEO,"$3,892,638,376",$4.08,0.34%
19,Litecoin,LTC,"$3,707,825,825",$51.96,-1.90%
