,article_title,author,time_posted,day_posted
0," Guidelines for use of AI in healthcare are on track, says CHAI ",Andrea Fox,09:56 am,"October 10, 2022"
1," Telemedicine boosts access, decreases inequities in Montana ",Bill Siwicki,09:55 am,"October 10, 2022"
2," Pinnacle hackers leak patient info, data on the web ",Adam Ang,06:43 am,"October 10, 2022"
3, HIEs do double duty as public health utilities ,Bill Siwicki,10:58 am,"October 07, 2022"
4, The AI Bill of Rights: Defining fairness and privacy by design ,Andrea Fox,10:45 am,"October 07, 2022"
5," MIT, MGH create VR system to advance physical therapy at home ",Andrea Fox,11:54 am,"October 06, 2022"
6, Where technology can help with prior authorization burnout ,Bill Siwicki,10:47 am,"October 06, 2022"
7," DEI in patient education improves engagement, lowers costs ",Andrea Fox,10:38 am,"October 06, 2022"
8, Google Cloud launches new AI-enabled imaging technologies ,Mike Miliard,10:00 am,"October 06, 2022"
9, New Digital Health Command to rise in Victoria ,Adam Ang,01:54 am,"October 06, 2022"
